,destination_facility,disposal,report_quarter,report_year,total_adc,transformation,county_id
7,Altamont Landfill & Resource Recovery,396727.0,1,1995,174.0,0.0,1
8,Tri Cities Recycling & Disposal Fac,67410.0,1,1995,174.0,0.0,1
9,Vasco Road Sanitary Landfill,111209.0,1,1995,174.0,0.0,1
11,Altamont Landfill & Resource Recovery,393888.0,2,1995,16991.0,0.0,1
12,Tri Cities Recycling & Disposal Fac,72408.0,2,1995,4379.0,0.0,1
13,Vasco Road Sanitary Landfill,114093.0,2,1995,4379.0,0.0,1
15,Altamont Landfill & Resource Recovery,394990.0,3,1995,18181.0,0.0,1
16,Tri Cities Recycling & Disposal Fac,73940.0,3,1995,9951.0,0.0,1
17,Vasco Road Sanitary Landfill,122358.0,3,1995,9951.0,0.0,1
19,Altamont Landfill & Resource Recovery,383876.0,4,1995,23069.0,0.0,1
20,Tri Cities Recycling & Disposal Fac,69466.0,4,1995,9848.0,0.0,1
21,Vasco Road Sanitary Landfill,117852.0,4,1995,9848.0,0.0,1
24,Altamont Landfill & Resource Recovery,366195.39,1,1996,20869.48,0.0,1
25,Tri Cities Recycling & Disposal Fac,66488.0,1,1996,20869.48,0.0,1
26,Vasco Road Sanitary Landfill,98995.4,1,1996,34914.11,0.0,1
28,Altamont Landfill & Resource Recovery,364886.2,2,1996,28643.35,0.0,1
29,Tri Cities Recycling & Disposal Fac,68965.0,2,1996,28643.35,0.0,1
30,Vasco Road Sanitary Landfill,123029.99,2,1996,55570.54,0.0,1
32,Altamont Landfill & Resource Recovery,376517.63,3,1996,29628.23,0.0,1
33,Tri Cities Recycling & Disposal Fac,69346.0,3,1996,54419.0,0.0,1
34,Vasco Road Sanitary Landfill,121816.24,3,1996,53100.84,0.0,1
36,Altamont Landfill & Resource Recovery,373460.6,4,1996,34809.47,0.0,1
37,Tri Cities Recycling & Disposal Fac,68974.0,4,1996,3829.0,0.0,1
38,Vasco Road Sanitary Landfill,104588.89,4,1996,39188.35,0.0,1
41,Altamont Landfill & Resource Recovery,390114.45,1,1997,32142.28,0.0,1
42,Tri Cities Recycling & Disposal Fac,65090.0,1,1997,5197.0,0.0,1
43,Vasco Road Sanitary Landfill,99918.68,1,1997,4061.53,0.0,1
45,Altamont Landfill & Resource Recovery,376317.66,2,1997,35276.27,0.0,1
46,Tri Cities Recycling & Disposal Fac,70259.0,2,1997,7261.0,0.0,1
47,Vasco Road Sanitary Landfill,111964.17,2,1997,3062.92,0.0,1
49,Altamont Landfill & Resource Recovery,403947.0,3,1997,43736.3,0.0,1
50,Tri Cities Recycling & Disposal Fac,71790.0,3,1997,6821.0,0.0,1
51,Vasco Road Sanitary Landfill,113561.64,3,1997,5612.26,0.0,1
53,Altamont Landfill & Resource Recovery,384366.45,4,1997,52599.38,0.0,1
54,Tri Cities Recycling & Disposal Fac,71585.0,4,1997,5918.0,0.0,1
55,Vasco Road Sanitary Landfill,112303.11,4,1997,7663.17,0.0,1
58,Altamont Landfill & Resource Recovery,369281.0,1,1998,43099.0,0.0,1
59,Tri Cities Recycling & Disposal Fac,69209.0,1,1998,5494.0,0.0,1
60,Vasco Road Sanitary Landfill,92980.0,1,1998,8083.0,0.0,1
62,Altamont Landfill & Resource Recovery,393368.0,2,1998,51826.0,0.0,1
63,Tri Cities Recycling & Disposal Fac,72837.0,2,1998,7747.0,0.0,1
